HCPCS_CODE,SHORT_DESCRIPTION,LONG_DESCRIPTION
A4593,Neuromod sti sys adj rehab,"Neuromodulation stimulator system, adjunct to rehabilitation therapy regime, controller"
A4594,Neuromod adj rehab mouthpie,"Neuromodulation stimulator system, adjunct to rehabilitation therapy regime, mouthpiece each"
A4595,Tens suppl 2 lead per month,"Electrical stimulator supplies, 2 lead, per month, (e.g., tens, nmes)"
A4596,Ces system monthly supp,"Cranial electrotherapy stimulation (ces) system supplies and accessories, per month"
A4600,"Sleeve, inter limb comp dev","Sleeve for intermittent limb compression device, replacement only, each"
A4601,Lith ion non prosth recharge,"Lithium ion battery, rechargeable, for non-prosthetic use, replacement"
A4602,Replace lithium battery 1.5v,"Replacement battery for external infusion pump owned by patient, lithium, 1.5 volt, each"
A4604,Tubing with heating element,Tubing with integrated heating element for use with positive airway pressure device
A4605,Trach suction cath close sys,"Tracheal suction catheter, closed system, each"
A4606,Oxygen probe used w oximeter,"Oxygen probe for use with oximeter device, replacement"
A4608,Transtracheal oxygen cath,"Transtracheal oxygen catheter, each"
A4611,Heavy duty battery,"Battery, heavy duty; replacement for patient owned ventilator"
A4612,Battery cables,Battery cables; replacement for patient-owned ventilator
A4613,Battery charger,Battery charger; replacement for patient-owned ventilator
A4614,Hand-held pefr meter,"Peak expiratory flow rate meter, hand held"
A4615,Cannula nasal,"Cannula, nasal"
A4616,Tubing (oxygen) per foot,"Tubing (oxygen), per foot"
A4617,Mouth piece,Mouth piece
A4618,Breathing circuits,Breathing circuits
A4619,Face tent,Face tent
A4620,Variable concentration mask,Variable concentration mask
A4623,Tracheostomy inner cannula,"Tracheostomy, inner cannula"
A4624,Tracheal suction tube,"Tracheal suction catheter, any type other than closed system, each"
A4625,Trach care kit for new trach,Tracheostomy care kit for new tracheostomy
A4626,Tracheostomy cleaning brush,"Tracheostomy cleaning brush, each"
A4627,Spacer bag/reservoir,"Spacer, bag or reservoir, with or without mask, for use with metered dose inhaler"
A4628,Oropharyngeal suction cath,"Oral and/or oropharyngeal suction catheter, each"
A4629,Tracheostomy care kit,Tracheostomy care kit for established tracheostomy
A4630,Repl bat t.e.n.s. own by pt,"Replacement batteries, medically necessary, transcutaneous electrical stimulator, owned by patient"
A4633,Uvl replacement bulb,"Replacement bulb/lamp for ultraviolet light therapy system, each"
A4634,Replacement bulb th lightbox,"Replacement bulb for therapeutic light box, tabletop model"
A4635,Underarm crutch pad,"Underarm pad, crutch, replacement, each"
A4636,Handgrip for cane etc,"Replacement, handgrip, cane, crutch, or walker, each"
A4637,Repl tip cane/crutch/walker,"Replacement, tip, cane, crutch, walker, each."
A4638,Repl batt pulse gen sys,"Replacement battery for patient-owned ear pulse generator, each"
A4639,Infrared ht sys replcmnt pad,"Replacement pad for infrared heating pad system, each"
A4640,Alternating pressure pad,Replacement pad for use with medically necessary alternating pressure pad owned by patient
A4641,Radiopharm dx agent noc,"Radiopharmaceutical, diagnostic, not otherwise classified"
A4642,In111 satumomab,"Indium in-111 satumomab pendetide, diagnostic, per study dose, up to 6 millicuries"
A4648,Implantable tissue marker,"Tissue marker, implantable, any type, each"
A4649,Surgical supplies,Surgical supply; miscellaneous
A4650,Implant radiation dosimeter,"Implantable radiation dosimeter, each"
A4651,Calibrated microcap tube,"Calibrated microcapillary tube, each"
A4652,Microcapillary tube sealant,Microcapillary tube sealant
A4653,Pd catheter anchor belt,"Peritoneal dialysis catheter anchoring device, belt, each"
A4657,Syringe w/wo needle,"Syringe, with or without needle, each"
A4660,Sphyg/bp app w cuff and stet,Sphygmomanometer/blood pressure apparatus with cuff and stethoscope
A4663,Dialysis blood pressure cuff,Blood pressure cuff only
A4670,"Automatic bp monitor, dial",Automatic blood pressure monitor
A4671,Disposable cycler set,"Disposable cycler set used with cycler dialysis machine, each"
A4672,"Drainage ext line, dialysis","Drainage extension line, sterile, for dialysis, each"
A4673,Ext line w easy lock connect,"Extension line with easy lock connectors, used with dialysis"
A4674,"Chem/antisept solution, 8oz","Chemicals/antiseptics solution used to clean/sterilize dialysis equipment, per 8 oz"
A4680,"Activated carbon filter, ea","Activated carbon filter for hemodialysis, each"
A4690,"Dialyzer, each","Dialyzer (artificial kidneys), all types, all sizes, for hemodialysis, each"
A4706,Bicarbonate conc sol per gal,"Bicarbonate concentrate, solution, for hemodialysis, per gallon"
A4707,Bicarbonate conc pow per pac,"Bicarbonate concentrate, powder, for hemodialysis, per packet"
A4708,Acetate conc sol per gallon,"Acetate concentrate solution, for hemodialysis, per gallon"
A4709,Acid conc sol per gallon,"Acid concentrate, solution, for hemodialysis, per gallon"
A4714,Treated water per gallon,"Treated water (deionized, distilled, or reverse osmosis) for peritoneal dialysis, per gallon"
A4719,"""y set"" tubing","""y set"" tubing for peritoneal dialysis"
A4720,Dialysat sol fld vol > 249cc,"Dialysate solution, any concentration of dextrose, fluid volume greater than 249 cc, but less than or equal to 999 cc, for peritoneal dialysis"
A4721,Dialysat sol fld vol > 999cc,"Dialysate solution, any concentration of dextrose, fluid volume greater than 999 cc but less than or equal to 1999 cc, for peritoneal dialysis"
A4722,Dialys sol fld vol > 1999cc,"Dialysate solution, any concentration of dextrose, fluid volume greater than 1999 cc but less than or equal to 2999 cc, for peritoneal dialysis"
A4723,Dialys sol fld vol > 2999cc,"Dialysate solution, any concentration of dextrose, fluid volume greater than 2999 cc but less than or equal to 3999 cc, for peritoneal dialysis"
A4724,Dialys sol fld vol > 3999cc,"Dialysate solution, any concentration of dextrose, fluid volume greater than 3999 cc but less than or equal to 4999 cc, for peritoneal dialysis"
A4725,Dialys sol fld vol > 4999cc,"Dialysate solution, any concentration of dextrose, fluid volume greater than 4999 cc but less than or equal to 5999 cc, for peritoneal dialysis"
A4726,Dialys sol fld vol > 5999cc,"Dialysate solution, any concentration of dextrose, fluid volume greater than 5999 cc, for peritoneal dialysis"
A4728,"Dialysate solution, non-dex","Dialysate solution, non-dextrose containing, 500 ml"
A4730,"Fistula cannulation set, ea","Fistula cannulation set for hemodialysis, each"
A4736,"Topical anesthetic, per gram","Topical anesthetic, for dialysis, per gram"
A4737,Inj anesthetic per 10 ml,"Injectable anesthetic, for dialysis, per 10 ml"
A4740,Shunt accessory,"Shunt accessory, for hemodialysis, any type, each"
A4750,Art or venous blood tubing,"Blood tubing, arterial or venous, for hemodialysis, each"
A4755,Comb art/venous blood tubing,"Blood tubing, arterial and venous combined, for hemodialysis, each"
A4760,"Dialysate sol test kit, each","Dialysate solution test kit, for peritoneal dialysis, any type, each"
A4765,Dialysate conc pow per pack,"Dialysate concentrate, powder, additive for peritoneal dialysis, per packet"
A4766,Dialysate conc sol add 10 ml,"Dialysate concentrate, solution, additive for peritoneal dialysis, per 10 ml"
A4770,Blood collection tube/vacuum,"Blood collection tube, vacuum, for dialysis, per 50"
A4771,Serum clotting time tube,"Serum clotting time tube, for dialysis, per 50"
A4772,Blood glucose test strips,"Blood glucose test strips, for dialysis, per 50"
A4773,Occult blood test strips,"Occult blood test strips, for dialysis, per 50"
A4774,Ammonia test strips,"Ammonia test strips, for dialysis, per 50"
A4802,Protamine sulfate per 50 mg,"Protamine sulfate, for hemodialysis, per 50 mg"
A4860,Disposable catheter tips,"Disposable catheter tips for peritoneal dialysis, per 10"
A4870,Plumb/elec wk hm hemo equip,Plumbing and/or electrical work for home hemodialysis equipment
A4890,Repair/maint cont hemo equip,"Contracts, repair and maintenance, for hemodialysis equipment"
A4911,Drain bag/bottle,"Drain bag/bottle, for dialysis, each"
A4913,Misc dialysis supplies noc,"Miscellaneous dialysis supplies, not otherwise specified"
A4918,Venous pressure clamp,"Venous pressure clamp, for hemodialysis, each"
A4927,Non-sterile gloves,"Gloves, non-sterile, per 100"
A4928,Surgical mask,"Surgical mask, per 20"
A4929,"Tourniquet for dialysis, ea","Tourniquet for dialysis, each"
A4930,"Sterile, gloves per pair","Gloves, sterile, per pair"
A4931,Reusable oral thermometer,"Oral thermometer, reusable, any type, each"
A4932,Reusable rectal thermometer,"Rectal thermometer, reusable, any type, each"
A5,Dressing for five wounds,Dressing for five wounds
A5051,Pouch clsd w barr attached,"Ostomy pouch, closed; with barrier attached (1 piece), each"
A5052,Clsd ostomy pouch w/o barr,"Ostomy pouch, closed; without barrier attached (1 piece), each"
A5053,Clsd ostomy pouch faceplate,"Ostomy pouch, closed; for use on faceplate, each"
A5054,Clsd ostomy pouch w/flange,"Ostomy pouch, closed; for use on barrier with flange (2 piece), each"
A5055,Stoma cap,Stoma cap
A5056,1 pc ost pouch w filter,"Ostomy pouch, drainable, with extended wear barrier attached, with filter, (1 piece), each"
A5057,1 pc ost pou w built-in conv,"Ostomy pouch, drainable, with extended wear barrier attached, with built in convexity, with filter, (1 piece), each"
A5061,Pouch drainable w barrier at,"Ostomy pouch, drainable; with barrier attached, (1 piece), each"
A5062,Drnble ostomy pouch w/o barr,"Ostomy pouch, drainable; without barrier attached (1 piece), each"
A5063,Drain ostomy pouch w/flange,"Ostomy pouch, drainable; for use on barrier with flange (2 piece system), each"
A5071,Urinary pouch w/barrier,"Ostomy pouch, urinary; with barrier attached (1 piece), each"
A5072,Urinary pouch w/o barrier,"Ostomy pouch, urinary; without barrier attached (1 piece), each"
A5073,Urinary pouch on barr w/flng,"Ostomy pouch, urinary; for use on barrier with flange (2 piece), each"
A5081,"Stoma plug or seal, any type","Stoma plug or seal, any type"
A5082,Continent stoma catheter,Continent device; catheter for continent stoma
A5083,Stoma absorptive cover,"Continent device, stoma absorptive cover for continent stoma"
A5093,Ostomy accessory convex inse,Ostomy accessory; convex insert
A5102,Bedside drain btl w/wo tube,"Bedside drainage bottle with or without tubing, rigid or expandable, each"
A5105,Urinary suspensory,"Urinary suspensory with leg bag, with or without tube, each"
A5112,Urinary leg bag,"Urinary drainage bag, leg or abdomen, latex, with or without tube, with straps, each"
A5113,Latex leg strap,"Leg strap; latex, replacement only, per set"
A5114,Foam/fabric leg strap,"Leg strap; foam or fabric, replacement only, per set"
A5120,"Skin barrier, wipe or swab","Skin barrier, wipes or swabs, each"
A5121,Solid skin barrier 6x6,"Skin barrier; solid, 6 x 6 or equivalent, each"
A5122,Solid skin barrier 8x8,"Skin barrier; solid, 8 x 8 or equivalent, each"
A5126,Disk/foam pad +or- adhesive,Adhesive or non-adhesive; disk or foam pad
A5131,Appliance cleaner,"Appliance cleaner, incontinence and ostomy appliances, per 16 oz."
A5200,Percutaneous catheter anchor,"Percutaneous catheter/tube anchoring device, adhesive skin attachment"
A5500,Diab shoe for density insert,"For diabetics only, fitting (including follow-up), custom preparation and supply of off-the-shelf depth-inlay shoe manufactured to accommodate multi-density insert(s), per shoe"
A5501,Diabetic custom molded shoe,"For diabetics only, fitting (including follow-up), custom preparation and supply of shoe molded from cast(s) of patient's foot (custom molded shoe), per shoe"
A5503,Diabetic shoe w/roller/rockr,"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with roller or rigid rocker bottom, per shoe"
A5504,Diabetic shoe with wedge,"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with wedge(s), per shoe"
A5505,Diab shoe w/metatarsal bar,"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with metatarsal bar, per shoe"
